Brand,Items,Subcategories,Indicator,Score,Mentions,CoreIndicator,Polarization,Reason,Evaluated_At
YSL,恆久完美無瑕持妝粉底,粉底液,輕透度,4.0,2,False,False,⚠️ 樣本僅 2 則，參考性有限,2026-07-03 16:13:12
YSL,恆久完美無瑕持妝粉底,粉底液,厚重度,4.0,1,False,False,,2026-07-03 16:13:12
YSL,恆久完美無瑕持妝粉底,粉底液,服貼度,,0,True,False,資料不足，評論中未提及此指標,2026-07-03 16:13:12
YSL,恆久完美無瑕持妝粉底,粉底液,防水抗汗,4.0,1,False,False,,2026-07-03 16:13:12
YSL,恆久完美無瑕持妝粉底,粉底液,光澤度,3.67,4,False,False,,2026-07-03 16:13:12
YSL,恆久完美無瑕持妝粉底,粉底液,成膜度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:13:12
YSL,恆久完美無瑕持妝粉底,粉底液,綜合評分,3.8,,,,排除 6 則業配/疑似業配、4 則商品不符,2026-07-03 16:13:12
DIOR,迪奧超完美持久柔光粉底液,粉底液,遮瑕力,3.14,4,True,False,核心指標 ×1.3,2026-07-03 16:14:08
DIOR,迪奧超完美持久柔光粉底液,粉底液,保濕度,3.79,8,False,False,,2026-07-03 16:14:08
DIOR,迪奧超完美持久柔光粉底液,粉底液,控油力,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:14:08
DIOR,迪奧超完美持久柔光粉底液,粉底液,持妝度,3.97,6,True,False,核心指標 ×1.3,2026-07-03 16:14:08
DIOR,迪奧超完美持久柔光粉底液,粉底液,輕透度,3.73,5,False,False,,2026-07-03 16:14:08
DIOR,迪奧超完美持久柔光粉底液,粉底液,厚重度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:14:08
DIOR,迪奧超完美持久柔光粉底液,粉底液,服貼度,4.0,2,True,False,⚠️ 樣本僅 2 則，參考性有限,2026-07-03 16:14:08
DIOR,迪奧超完美持久柔光粉底液,粉底液,防水抗汗,4.0,1,False,False,,2026-07-03 16:14:08
DIOR,迪奧超完美持久柔光粉底液,粉底液,光澤度,4.29,6,False,False,,2026-07-03 16:14:08
DIOR,迪奧超完美持久柔光粉底液,粉底液,成膜度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:14:08
DIOR,迪奧超完美持久柔光粉底液,粉底液,綜合評分,3.8,,,,排除 4 則業配/疑似業配、7 則商品不符,2026-07-03 16:14:08
CHANEL,香奈兒原生美肌底妝系列,粉底液,遮瑕力,1.65,4,True,False,核心指標 ×1.3,2026-07-03 16:15:09
CHANEL,香奈兒原生美肌底妝系列,粉底液,保濕度,3.17,3,False,False,,2026-07-03 16:15:09
CHANEL,香奈兒原生美肌底妝系列,粉底液,控油力,4.0,2,False,False,⚠️ 樣本僅 2 則，參考性有限,2026-07-03 16:15:09
CHANEL,香奈兒原生美肌底妝系列,粉底液,持妝度,1.77,3,True,False,核心指標 ×1.3,2026-07-03 16:15:09
CHANEL,香奈兒原生美肌底妝系列,粉底液,輕透度,4.17,7,False,False,,2026-07-03 16:15:09
CHANEL,香奈兒原生美肌底妝系列,粉底液,厚重度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:15:09
CHANEL,香奈兒原生美肌底妝系列,粉底液,服貼度,2.68,2,True,False,⚠️ 樣本僅 2 則且評論分歧，參考性有限,2026-07-03 16:15:09
CHANEL,香奈兒原生美肌底妝系列,粉底液,防水抗汗,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:15:09
CHANEL,香奈兒原生美肌底妝系列,粉底液,光澤度,4.0,1,False,False,,2026-07-03 16:15:09
CHANEL,香奈兒原生美肌底妝系列,粉底液,成膜度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:15:09
CHANEL,香奈兒原生美肌底妝系列,粉底液,綜合評分,2.9,,,,排除 0 則業配/疑似業配、20 則商品不符,2026-07-03 16:15:09
MAKE UP FOREVER,HD SKIN 粉無痕平衡肌底粉底液,粉底液,遮瑕力,3.74,5,True,False,核心指標 ×1.3,2026-07-03 16:16:11
MAKE UP FOREVER,HD SKIN 粉無痕平衡肌底粉底液,粉底液,保濕度,2.44,4,False,False,,2026-07-03 16:16:11
MAKE UP FOREVER,HD SKIN 粉無痕平衡肌底粉底液,粉底液,控油力,2.94,3,False,False,,2026-07-03 16:16:11
MAKE UP FOREVER,HD SKIN 粉無痕平衡肌底粉底液,粉底液,持妝度,3.03,8,True,False,核心指標 ×1.3,2026-07-03 16:16:11
MAKE UP FOREVER,HD SKIN 粉無痕平衡肌底粉底液,粉底液,輕透度,4.0,2,False,False,⚠️ 樣本僅 2 則，參考性有限,2026-07-03 16:16:11
MAKE UP FOREVER,HD SKIN 粉無痕平衡肌底粉底液,粉底液,厚重度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:16:11
MAKE UP FOREVER,HD SKIN 粉無痕平衡肌底粉底液,粉底液,服貼度,2.86,7,True,False,核心指標 ×1.3,2026-07-03 16:16:11
MAKE UP FOREVER,HD SKIN 粉無痕平衡肌底粉底液,粉底液,防水抗汗,3.2,1,False,False,,2026-07-03 16:16:11
MAKE UP FOREVER,HD SKIN 粉無痕平衡肌底粉底液,粉底液,光澤度,3.2,1,False,False,,2026-07-03 16:16:11
MAKE UP FOREVER,HD SKIN 粉無痕平衡肌底粉底液,粉底液,成膜度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:16:11
MAKE UP FOREVER,HD SKIN 粉無痕平衡肌底粉底液,粉底液,綜合評分,3.2,,,,排除 13 則業配/疑似業配、6 則商品不符,2026-07-03 16:16:11
雅詩蘭黛,Double Wear 粉持久極致完美持妝粉底SPF10/PA++,粉底液,遮瑕力,3.02,6,True,False,核心指標 ×1.3,2026-07-03 16:17:24
雅詩蘭黛,Double Wear 粉持久極致完美持妝粉底SPF10/PA++,粉底液,保濕度,3.2,4,False,False,,2026-07-03 16:17:24
雅詩蘭黛,Double Wear 粉持久極致完美持妝粉底SPF10/PA++,粉底液,控油力,3.5,4,False,False,,2026-07-03 16:17:24
雅詩蘭黛,Double Wear 粉持久極致完美持妝粉底SPF10/PA++,粉底液,持妝度,3.27,15,True,False,核心指標 ×1.3,2026-07-03 16:17:24
雅詩蘭黛,Double Wear 粉持久極致完美持妝粉底SPF10/PA++,粉底液,輕透度,3.5,3,False,False,,2026-07-03 16:17:24
雅詩蘭黛,Double Wear 粉持久極致完美持妝粉底SPF10/PA++,粉底液,厚重度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:17:24
雅詩蘭黛,Double Wear 粉持久極致完美持妝粉底SPF10/PA++,粉底液,服貼度,2.96,8,True,False,核心指標 ×1.3,2026-07-03 16:17:24
雅詩蘭黛,Double Wear 粉持久極致完美持妝粉底SPF10/PA++,粉底液,防水抗汗,3.2,2,False,False,⚠️ 樣本僅 2 則，參考性有限,2026-07-03 16:17:24
雅詩蘭黛,Double Wear 粉持久極致完美持妝粉底SPF10/PA++,粉底液,光澤度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:17:24
雅詩蘭黛,Double Wear 粉持久極致完美持妝粉底SPF10/PA++,粉底液,成膜度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:17:24
雅詩蘭黛,Double Wear 粉持久極致完美持妝粉底SPF10/PA++,粉底液,綜合評分,3.2,,,,排除 11 則業配/疑似業配、4 則商品不符,2026-07-03 16:17:24
蘭蔻,零粉感超持久粉底SPF 48/ PA++,粉底液,遮瑕力,3.01,11,True,False,核心指標 ×1.3,2026-07-03 16:18:22
蘭蔻,零粉感超持久粉底SPF 48/ PA++,粉底液,保濕度,2.65,7,False,False,,2026-07-03 16:18:22
蘭蔻,零粉感超持久粉底SPF 48/ PA++,粉底液,控油力,4.0,1,False,False,,2026-07-03 16:18:22
蘭蔻,零粉感超持久粉底SPF 48/ PA++,粉底液,持妝度,4.15,16,True,False,核心指標 ×1.3,2026-07-03 16:18:22
蘭蔻,零粉感超持久粉底SPF 48/ PA++,粉底液,輕透度,4.58,13,False,False,,2026-07-03 16:18:22
蘭蔻,零粉感超持久粉底SPF 48/ PA++,粉底液,厚重度,4.0,3,False,False,,2026-07-03 16:18:22
蘭蔻,零粉感超持久粉底SPF 48/ PA++,粉底液,服貼度,3.97,12,True,False,核心指標 ×1.3,2026-07-03 16:18:22
蘭蔻,零粉感超持久粉底SPF 48/ PA++,粉底液,防水抗汗,4.0,1,False,False,,2026-07-03 16:18:22
蘭蔻,零粉感超持久粉底SPF 48/ PA++,粉底液,光澤度,3.6,2,False,False,⚠️ 樣本僅 2 則且評論分歧，參考性有限,2026-07-03 16:18:22
蘭蔻,零粉感超持久粉底SPF 48/ PA++,粉底液,成膜度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:18:22
蘭蔻,零粉感超持久粉底SPF 48/ PA++,粉底液,綜合評分,3.8,,,,排除 4 則業配/疑似業配、3 則商品不符,2026-07-03 16:18:22
Bobbi Brown,霧光持久粉底液 SPF 15 PA++,粉底液,遮瑕力,3.3,5,True,False,核心指標 ×1.3,2026-07-03 16:19:25
Bobbi Brown,霧光持久粉底液 SPF 15 PA++,粉底液,保濕度,2.5,2,False,False,⚠️ 樣本僅 2 則，參考性有限,2026-07-03 16:19:25
Bobbi Brown,霧光持久粉底液 SPF 15 PA++,粉底液,控油力,2.5,1,False,False,,2026-07-03 16:19:25
Bobbi Brown,霧光持久粉底液 SPF 15 PA++,粉底液,持妝度,3.53,8,True,False,核心指標 ×1.3,2026-07-03 16:19:25
Bobbi Brown,霧光持久粉底液 SPF 15 PA++,粉底液,輕透度,4.0,5,False,False,,2026-07-03 16:19:25
Bobbi Brown,霧光持久粉底液 SPF 15 PA++,粉底液,厚重度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:19:25
Bobbi Brown,霧光持久粉底液 SPF 15 PA++,粉底液,服貼度,3.31,5,True,False,核心指標 ×1.3,2026-07-03 16:19:25
Bobbi Brown,霧光持久粉底液 SPF 15 PA++,粉底液,防水抗汗,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:19:25
Bobbi Brown,霧光持久粉底液 SPF 15 PA++,粉底液,光澤度,3.0,1,False,False,,2026-07-03 16:19:25
Bobbi Brown,霧光持久粉底液 SPF 15 PA++,粉底液,成膜度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:19:25
Bobbi Brown,霧光持久粉底液 SPF 15 PA++,粉底液,綜合評分,3.2,,,,排除 19 則業配/疑似業配、3 則商品不符,2026-07-03 16:19:25
植村秀,無極限持久遮瑕筆,遮瑕膏,遮蓋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:20:47
植村秀,無極限持久遮瑕筆,遮瑕膏,抗紋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:20:47
植村秀,無極限持久遮瑕筆,遮瑕膏,持久度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:20:47
植村秀,無極限持久遮瑕筆,遮瑕膏,服貼度,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:20:47
植村秀,無極限持久遮瑕筆,遮瑕膏,不暗沉變色,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:20:47
植村秀,無極限持久遮瑕筆,遮瑕膏,校色效果,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:20:47
植村秀,無極限持久遮瑕筆,遮瑕膏,厚重度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:20:47
資生堂,超進化光感輕潤遮瑕棒,遮瑕膏,遮蓋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:20:47
資生堂,超進化光感輕潤遮瑕棒,遮瑕膏,抗紋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:20:47
資生堂,超進化光感輕潤遮瑕棒,遮瑕膏,持久度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:20:47
資生堂,超進化光感輕潤遮瑕棒,遮瑕膏,服貼度,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:20:47
資生堂,超進化光感輕潤遮瑕棒,遮瑕膏,不暗沉變色,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:20:47
資生堂,超進化光感輕潤遮瑕棒,遮瑕膏,校色效果,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:20:47
資生堂,超進化光感輕潤遮瑕棒,遮瑕膏,厚重度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:20:47
M.A.C,超持妝六色遮瑕盤,遮瑕膏,遮蓋力,3.75,4,True,False,核心指標 ×1.3,2026-07-03 16:20:47
M.A.C,超持妝六色遮瑕盤,遮瑕膏,抗紋力,3.25,2,True,False,⚠️ 樣本僅 2 則且評論分歧，參考性有限,2026-07-03 16:20:47
M.A.C,超持妝六色遮瑕盤,遮瑕膏,持久度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:20:47
M.A.C,超持妝六色遮瑕盤,遮瑕膏,服貼度,4.33,2,True,False,⚠️ 樣本僅 2 則且評論分歧，參考性有限,2026-07-03 16:20:47
M.A.C,超持妝六色遮瑕盤,遮瑕膏,不暗沉變色,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:20:47
M.A.C,超持妝六色遮瑕盤,遮瑕膏,校色效果,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:20:47
M.A.C,超持妝六色遮瑕盤,遮瑕膏,厚重度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:20:47
M.A.C,超持妝六色遮瑕盤,遮瑕膏,綜合評分,3.8,,,,排除 4 則業配/疑似業配、11 則商品不符,2026-07-03 16:20:47
YSL,恆久完美精準無瑕遮瑕液,遮瑕膏,遮蓋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
YSL,恆久完美精準無瑕遮瑕液,遮瑕膏,抗紋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
YSL,恆久完美精準無瑕遮瑕液,遮瑕膏,持久度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
YSL,恆久完美精準無瑕遮瑕液,遮瑕膏,服貼度,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
YSL,恆久完美精準無瑕遮瑕液,遮瑕膏,不暗沉變色,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
YSL,恆久完美精準無瑕遮瑕液,遮瑕膏,校色效果,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
YSL,恆久完美精準無瑕遮瑕液,遮瑕膏,厚重度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
DIOR,DIOR超完美持久遮瑕乳,遮瑕膏,遮蓋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
DIOR,DIOR超完美持久遮瑕乳,遮瑕膏,抗紋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
DIOR,DIOR超完美持久遮瑕乳,遮瑕膏,持久度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
DIOR,DIOR超完美持久遮瑕乳,遮瑕膏,服貼度,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
DIOR,DIOR超完美持久遮瑕乳,遮瑕膏,不暗沉變色,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
DIOR,DIOR超完美持久遮瑕乳,遮瑕膏,校色效果,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
DIOR,DIOR超完美持久遮瑕乳,遮瑕膏,厚重度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
CHANEL,香奈兒原生美肌遮瑕精萃,遮瑕膏,遮蓋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
CHANEL,香奈兒原生美肌遮瑕精萃,遮瑕膏,抗紋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
CHANEL,香奈兒原生美肌遮瑕精萃,遮瑕膏,持久度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
CHANEL,香奈兒原生美肌遮瑕精萃,遮瑕膏,服貼度,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
CHANEL,香奈兒原生美肌遮瑕精萃,遮瑕膏,不暗沉變色,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
CHANEL,香奈兒原生美肌遮瑕精萃,遮瑕膏,校色效果,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
CHANEL,香奈兒原生美肌遮瑕精萃,遮瑕膏,厚重度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
MAKE UP FOREVER,HD SKIN 粉無痕魔力防水遮瑕霜,遮瑕膏,遮蓋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
MAKE UP FOREVER,HD SKIN 粉無痕魔力防水遮瑕霜,遮瑕膏,抗紋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
MAKE UP FOREVER,HD SKIN 粉無痕魔力防水遮瑕霜,遮瑕膏,持久度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
MAKE UP FOREVER,HD SKIN 粉無痕魔力防水遮瑕霜,遮瑕膏,服貼度,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
MAKE UP FOREVER,HD SKIN 粉無痕魔力防水遮瑕霜,遮瑕膏,不暗沉變色,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
MAKE UP FOREVER,HD SKIN 粉無痕魔力防水遮瑕霜,遮瑕膏,校色效果,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
MAKE UP FOREVER,HD SKIN 粉無痕魔力防水遮瑕霜,遮瑕膏,厚重度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
雅詩蘭黛,Futurist 粉保濕遮瑕亮眼精萃,遮瑕膏,遮蓋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
雅詩蘭黛,Futurist 粉保濕遮瑕亮眼精萃,遮瑕膏,抗紋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
雅詩蘭黛,Futurist 粉保濕遮瑕亮眼精萃,遮瑕膏,持久度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
雅詩蘭黛,Futurist 粉保濕遮瑕亮眼精萃,遮瑕膏,服貼度,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
雅詩蘭黛,Futurist 粉保濕遮瑕亮眼精萃,遮瑕膏,不暗沉變色,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
雅詩蘭黛,Futurist 粉保濕遮瑕亮眼精萃,遮瑕膏,校色效果,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
雅詩蘭黛,Futurist 粉保濕遮瑕亮眼精萃,遮瑕膏,厚重度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
蘭蔻,零粉感超持久遮瑕提亮液,遮瑕膏,遮蓋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
蘭蔻,零粉感超持久遮瑕提亮液,遮瑕膏,抗紋力,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
蘭蔻,零粉感超持久遮瑕提亮液,遮瑕膏,持久度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
蘭蔻,零粉感超持久遮瑕提亮液,遮瑕膏,服貼度,,0,True,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
蘭蔻,零粉感超持久遮瑕提亮液,遮瑕膏,不暗沉變色,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
蘭蔻,零粉感超持久遮瑕提亮液,遮瑕膏,校色效果,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
蘭蔻,零粉感超持久遮瑕提亮液,遮瑕膏,厚重度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:29
Bobbi Brown,全方位奶油遮瑕盤,遮瑕膏,遮蓋力,5.0,2,True,False,⚠️ 樣本僅 2 則，參考性有限 ⚠️ 有效評論樣本較少，結果僅供參考,2026-07-03 16:21:29
Bobbi Brown,全方位奶油遮瑕盤,遮瑕膏,抗紋力,,0,True,False,資料不足，評論中未提及此指標,2026-07-03 16:21:29
Bobbi Brown,全方位奶油遮瑕盤,遮瑕膏,持久度,4.0,1,False,False,⚠️ 有效評論樣本較少，結果僅供參考,2026-07-03 16:21:29
Bobbi Brown,全方位奶油遮瑕盤,遮瑕膏,服貼度,5.0,1,True,False,⚠️ 有效評論樣本較少，結果僅供參考,2026-07-03 16:21:29
Bobbi Brown,全方位奶油遮瑕盤,遮瑕膏,不暗沉變色,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:21:29
Bobbi Brown,全方位奶油遮瑕盤,遮瑕膏,校色效果,4.0,1,False,False,⚠️ 有效評論樣本較少，結果僅供參考,2026-07-03 16:21:29
Bobbi Brown,全方位奶油遮瑕盤,遮瑕膏,厚重度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:21:29
Bobbi Brown,全方位奶油遮瑕盤,遮瑕膏,綜合評分,4.6,,,,排除 3 則業配/疑似業配、5 則商品不符,2026-07-03 16:21:29
M.A.C,超持妝霧絲絨氣墊粉餅SPF 50/PA+++,氣墊粉餅,遮瑕力,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:48
M.A.C,超持妝霧絲絨氣墊粉餅SPF 50/PA+++,氣墊粉餅,保濕度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:48
M.A.C,超持妝霧絲絨氣墊粉餅SPF 50/PA+++,氣墊粉餅,控油力,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:48
M.A.C,超持妝霧絲絨氣墊粉餅SPF 50/PA+++,氣墊粉餅,持妝度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:48
M.A.C,超持妝霧絲絨氣墊粉餅SPF 50/PA+++,氣墊粉餅,輕透度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:48
M.A.C,超持妝霧絲絨氣墊粉餅SPF 50/PA+++,氣墊粉餅,厚重度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:21:48
